Time,GEMS_GEMS_SPENT
2017-05-01,1199436
2017-05-02,1045515
2017-05-03,586111
2017-05-04,856601
2017-05-05,793775
2017-05-06,606535
2017-05-07,1112763
2017-05-08,1121218
2017-05-09,813844
2017-05-10,903343
2017-05-11,863465
2017-05-12,639224
2017-05-13,1030389
2017-05-14,1132645
2017-05-15,1018672
2017-05-16,1726870
2017-05-17,1378430
2017-05-18,532950
2017-05-19,828238
2017-05-20,823948
2017-05-21,592549
2017-05-22,939337
2017-05-23,862611
2017-05-24,551557
2017-05-25,878375
2017-05-26,784535
2017-05-27,613603
2017-05-28,1054658
2017-05-29,1026401
2017-05-30,682284
2017-05-31,986644
2017-06-01,924769
2017-06-02,633489
2017-06-03,1044957
2017-06-04,1088685
2017-06-05,798582
2017-06-06,1139786
2017-06-07,1066560
2017-06-08,754706
2017-06-09,1199406
2017-06-10,1186341
2017-06-11,958210
2017-06-12,1564553
2017-06-13,1470865
2017-06-14,1201275
2017-06-15,2418723
2017-06-16,2123070
2017-06-17,978338
2017-06-18,1536623
2017-06-19,1420586
2017-06-20,966259
2017-06-21,1232735
2017-06-22,1090762
2017-06-23,763828
2017-06-24,1153383
2017-06-25,1074039
2017-06-26,733943
2017-06-27,1103070
2017-06-28,1123779
2017-06-29,752524
2017-06-30,1123866
2017-07-01,1051964
2017-07-02,756827
2017-07-03,1109486
2017-07-04,1059961
2017-07-05,691291
2017-07-06,985221
2017-07-07,932805
2017-07-08,641340
2017-07-09,1038572
2017-07-10,1037868
2017-07-11,732303
2017-07-12,962492
2017-07-13,875898
2017-07-14,1029902
2017-07-15,1917268
2017-07-16,1662445
2017-07-17,791812
2017-07-18,1061339
2017-07-19,968767
2017-07-20,685321
2017-07-21,1020324
2017-07-22,995864
2017-07-23,785353
2017-07-24,1192613
2017-07-25,1068292
2017-07-26,710820
2017-07-27,1048429
2017-07-28,991163
2017-07-29,701672
2017-07-30,1239717
2017-07-31,1261953
2017-08-01,857930
2017-08-02,1208488
2017-08-03,1165563
2017-08-04,821228
2017-08-05,1304837
2017-08-06,1385061
2017-08-07,1143864
2017-08-08,1420747
2017-08-09,1082965
2017-08-10,896817
2017-08-11,1309864
2017-08-12,1389726
2017-08-13,1336787
2017-08-14,2426361
2017-08-15,1893231
2017-08-16,795571
2017-08-17,1228308
2017-08-18,1171824
2017-08-19,832872
2017-08-20,1647205
2017-08-21,1675743
2017-08-22,1269681
2017-08-23,1904623
2017-08-24,1594601
2017-08-25,1162089
2017-08-26,1754296
2017-08-27,1746942
2017-08-28,1325245
2017-08-29,1614025
2017-08-30,1372725
2017-08-31,990184
2017-09-01,1492608
2017-09-02,1426323
2017-09-03,1228686
2017-09-04,1735632
2017-09-05,1470880
2017-09-06,1022235
2017-09-07,1466472
2017-09-08,1381460
2017-09-09,1123100
2017-09-10,1908051
2017-09-11,1925878
2017-09-12,1539409
2017-09-13,2566462
2017-09-14,2046640
2017-09-15,949784
2017-09-16,1260130
2017-09-17,1025393
2017-09-18,795070
2017-09-19,1005711
2017-09-20,934316
2017-09-21,672780
2017-09-22,977338
2017-09-23,952165
2017-09-24,799347
2017-09-25,1128242
2017-09-26,1004572
2017-09-27,722362
2017-09-28,1017760
2017-09-29,969319
2017-09-30,732678
2017-10-01,1212104
2017-10-02,1190644
2017-10-03,845058
2017-10-04,1125893
2017-10-05,1085597
2017-10-06,814176
2017-10-07,1241656
2017-10-08,1458628
2017-10-09,1228912
2017-10-10,1489464
2017-10-11,1445240
2017-10-12,1269546
2017-10-13,2209056
2017-10-14,1872115
2017-10-15,1028471
2017-10-16,1434433
2017-10-17,1274497
2017-10-18,918567
2017-10-19,1286976
2017-10-20,1211880
2017-10-21,977253
2017-10-22,1491771
2017-10-23,1411582
2017-10-24,1016348
2017-10-25,1447929
2017-10-26,1387572
2017-10-27,1057798
2017-10-28,1505543
2017-10-29,1440709
2017-10-30,1134088
2017-10-31,1434024
2017-11-01,1306378
2017-11-02,965258
2017-11-03,1316822
2017-11-04,985845
2017-11-05,931888
2017-11-06,1290728
2017-11-07,1210535
2017-11-08,954986
2017-11-09,1363671
2017-11-10,1413365
2017-11-11,1298822
2017-11-12,2328862
2017-11-13,1880710
2017-11-14,898547
2017-11-15,1276048
2017-11-16,1206946
2017-11-17,906266
2017-11-18,1365544
2017-11-19,1286705
